      time,           p [    21.91      1.64         0],           p [    25.57      1.64         0],           p [    29.12      1.62         0],           p [    32.89      1.63         0],           p [    36.54      1.63         0],           p [    40.21      1.63         0]
    9.598122662544662e+01,                    2.403056961762225910e+03,                    2.383419580344457700e+03,                    2.539055754464662186e+03,                    2.526736632474021462e+03,                    2.280380215192220930e+03,                    2.119689095368628841e+03
    9.599615865746422e+01,                    2.403332753924322333e+03,                    2.386361970115983240e+03,                    2.539408653022161161e+03,                    2.521406922643443977e+03,                    2.270180034085379248e+03,                    2.126457028072212779e+03
    9.601109421350070e+01,                    2.403432632140425994e+03,                    2.389295184576269548e+03,                    2.539701377862111713e+03,                    2.515918659674877745e+03,                    2.260440280893388262e+03,                    2.133590937311220841e+03
    9.602603324521134e+01,                    2.403578020426718012e+03,                    2.392215066122690132e+03,                    2.539924461345749933e+03,                    2.510354385091258337e+03,                    2.251344518052558669e+03,                    2.142279487405072359e+03
    9.604097570467711e+01,                    2.403795814697358310e+03,                    2.395083577619718199e+03,                    2.540097127557468866e+03,                    2.504648590190810864e+03,                    2.242879912175599202e+03,                    2.151641306338498907e+03
    9.605592154343586e+01,                    2.403655836637314678e+03,                    2.397941154447029021e+03,                    2.540198291875317409e+03,                    2.498877492605751740e+03,                    2.235012767484215601e+03,                    2.161869357307071823e+03
    9.607087071162334e+01,                    2.403524596642563665e+03,                    2.400753481119164462e+03,                    2.540233063584401862e+03,                    2.492808867576878583e+03,                    2.228878505391848648e+03,                    2.172524730568265113e+03
    9.608582315723646e+01,                    2.403693232357526995e+03,                    2.403489072717667113e+03,                    2.540207874742320200e+03,                    2.486636902121163985e+03,                    2.224110641364769890e+03,                    2.184181177356975695e+03
    9.610077882565531e+01,                    2.403400391284475063e+03,                    2.406192688652517063e+03,                    2.540117783863868681e+03,                    2.480566395847628883e+03,                    2.217975502606363079e+03,                    2.196232068006839654e+03
    9.611573765981184e+01,                    2.403114553260982120e+03,                    2.408822209515935810e+03,                    2.539967071272175417e+03,                    2.474347703241444833e+03,                    2.215645777628324595e+03,                    2.209069579663447712e+03
    9.613069959925403e+01,                    2.402924832822875942e+03,                    2.411378452287609434e+03,                    2.539730691594499149e+03,                    2.467980982240512276e+03,                    2.210575745396706225e+03,                    2.222288729211272312e+03
    9.614566458164040e+01,                    2.402803780214710059e+03,                    2.413836411464396406e+03,                    2.539439661094039820e+03,                    2.461516290358435981e+03,                    2.206797289117487253e+03,                    2.236126195881634430e+03
    9.616063254152664e+01,                    2.402443506846134369e+03,                    2.416245790107709126e+03,                    2.539086139333708161e+03,                    2.455263878807458696e+03,                    2.203632977199999004e+03,                    2.250289100934518501e+03
    9.617560341091641e+01,                    2.401926824458572810e+03,                    2.418546803247589651e+03,                    2.538684447494183587e+03,                    2.448886369983949407e+03,                    2.201279603280122046e+03,                    2.265070368983252138e+03
    9.619057711974483e+01,                    2.400977065930387198e+03,                    2.420804252649491900e+03,                    2.538232892261630695e+03,                    2.442535757442353315e+03,                    2.200131921500309545e+03,                    2.279875246403301389e+03
    9.620555359556299e+01,                    2.400475780706507521e+03,                    2.422894935317057843e+03,                    2.537725681495567642e+03,                    2.436347157128297113e+03,                    2.199121623389728484e+03,                    2.295354664873272668e+03
    9.622053276458409e+01,                    2.400383560936740651e+03,                    2.424865989045611059e+03,                    2.537174802494077085e+03,                    2.430251455137356970e+03,                    2.198860362299932149e+03,                    2.311045121749365535e+03
    9.623551455087704e+01,                    2.399744984262410526e+03,                    2.426762913323714201e+03,                    2.536572955208566782e+03,                    2.424274881615746381e+03,                    2.199502700902666220e+03,                    2.324086588751748423e+03
    9.625049887778563e+01,                    2.399019030980140542e+03,                    2.428530759708045480e+03,                    2.535936657199165438e+03,                    2.418371796385618381e+03,                    2.200655076647973146e+03,                    2.339735294358505143e+03
